# Time (s),Drag coefficient (​),Mach number (​)
3.622,0.567,1.771
3.645,0.565,1.781
3.678,0.562,1.797
3.708,0.56,1.81
3.753,0.556,1.827
3.803,0.553,1.844
3.825,0.552,1.851
3.859,0.55,1.86
3.909,0.547,1.873
3.927,0.547,1.877
3.955,0.545,1.883
3.996,0.544,1.892
4.046,0.542,1.901
4.054,0.542,1.902
4.066,0.541,1.904
4.083,0.541,1.907
4.11,0.54,1.912
4.15,0.539,1.918
4.2,0.538,1.925
4.205,0.538,1.925
4.213,0.537,1.926
4.225,0.537,1.928
4.242,0.537,1.93
4.269,0.536,1.932
4.308,0.536,1.936
4.314,0.536,1.936
4.323,0.535,1.937
4.336,0.535,1.937
4.356,0.535,1.938
4.385,0.535,1.939
4.394,0.535,1.939
4.407,0.535,1.939
4.426,0.535,1.939
4.455,0.535,1.938
4.462,0.535,1.938
4.473,0.535,1.938
4.489,0.535,1.937
4.511,0.536,1.936
4.544,0.536,1.934
4.594,0.536,1.931
4.631,0.537,1.928
4.681,0.538,1.923
4.731,0.539,1.918
4.761,0.539,1.914
4.806,0.54,1.909
4.854,0.542,1.902
4.906,0.543,1.894
4.956,0.545,1.886
5.006,0.546,1.878
5.056,0.548,1.87
5.106,0.549,1.862
5.156,0.55,1.854
5.206,0.552,1.846
5.256,0.553,1.838
5.306,0.555,1.831
5.356,0.556,1.823
5.406,0.558,1.815
5.456,0.559,1.808
5.506,0.561,1.8
5.556,0.562,1.793
5.606,0.564,1.786
5.656,0.565,1.778
5.706,0.566,1.771
5.756,0.568,1.764
5.806,0.569,1.757
5.856,0.571,1.75
5.906,0.572,1.743
5.956,0.574,1.735
6.006,0.575,1.729
6.056,0.576,1.722
6.106,0.578,1.715
6.156,0.579,1.708
6.206,0.581,1.701
6.256,0.582,1.694
6.306,0.583,1.688
6.356,0.585,1.681
6.406,0.586,1.675
6.456,0.587,1.668
6.506,0.589,1.661
6.556,0.59,1.655
6.606,0.592,1.649
6.656,0.593,1.642
6.706,0.594,1.636
6.756,0.596,1.63
6.806,0.597,1.623
6.856,0.598,1.617
6.906,0.6,1.611
6.956,0.601,1.605
7.006,0.602,1.599
7.056,0.604,1.593
7.106,0.605,1.587
7.156,0.606,1.581
7.206,0.608,1.575
7.256,0.609,1.569
7.306,0.61,1.563
7.356,0.612,1.557
7.406,0.613,1.551
7.456,0.614,1.545
7.506,0.616,1.54
7.556,0.617,1.534
7.606,0.618,1.528
7.656,0.62,1.523
7.706,0.621,1.517
7.756,0.622,1.512
7.806,0.623,1.506
7.856,0.625,1.501
7.906,0.626,1.495
7.956,0.627,1.49
8.006,0.629,1.484
8.056,0.63,1.479
8.106,0.631,1.474
8.156,0.632,1.468
8.206,0.634,1.463
8.256,0.635,1.458
8.306,0.636,1.453
8.356,0.637,1.447
8.406,0.639,1.442
8.456,0.64,1.437
8.506,0.641,1.432
8.556,0.642,1.427
8.606,0.644,1.422
8.656,0.645,1.417
8.706,0.646,1.412
8.756,0.647,1.407
8.806,0.649,1.402
8.856,0.65,1.397
8.906,0.651,1.392
8.956,0.652,1.387
9.006,0.654,1.382
9.056,0.655,1.378
9.106,0.656,1.373
9.156,0.657,1.368
9.206,0.659,1.363
