# Time (s),Mass (g)
12.957,2.328e4
13.007,2.328e4
13.057,2.328e4
13.107,2.328e4
13.157,2.328e4
13.207,2.328e4
13.257,2.328e4
13.307,2.328e4
13.357,2.328e4
13.407,2.328e4
13.457,2.328e4
13.507,2.328e4
13.557,2.328e4
13.607,2.328e4
13.657,2.328e4
13.707,2.328e4
13.757,2.328e4
13.807,2.328e4
13.857,2.328e4
13.907,2.328e4
13.957,2.328e4
14.007,2.328e4
14.057,2.328e4
14.107,2.328e4
14.157,2.328e4
14.207,2.328e4
14.257,2.328e4
14.307,2.328e4
14.357,2.328e4
14.407,2.328e4
14.457,2.328e4
14.507,2.328e4
14.557,2.328e4
14.607,2.328e4
14.657,2.328e4
14.707,2.328e4
14.757,2.328e4
14.807,2.328e4
14.857,2.328e4
14.907,2.328e4
14.957,2.328e4
15.007,2.328e4
15.057,2.328e4
15.107,2.328e4
15.157,2.328e4
15.207,2.328e4
15.257,2.328e4
15.307,2.328e4
15.357,2.328e4
15.407,2.328e4
15.457,2.328e4
15.507,2.328e4
15.557,2.328e4
15.607,2.328e4
15.657,2.328e4
15.707,2.328e4
15.757,2.328e4
15.807,2.328e4
15.857,2.328e4
15.907,2.328e4
15.957,2.328e4
16.007,2.328e4
16.057,2.328e4
16.107,2.328e4
16.157,2.328e4
16.207,2.328e4
16.257,2.328e4
16.307,2.328e4
16.357,2.328e4
16.407,2.328e4
16.457,2.328e4
16.507,2.328e4
16.557,2.328e4
16.607,2.328e4
16.657,2.328e4
16.707,2.328e4
16.757,2.328e4
16.807,2.328e4
16.857,2.328e4
16.907,2.328e4
16.957,2.328e4
17.007,2.328e4
17.057,2.328e4
17.107,2.328e4
17.157,2.328e4
17.207,2.328e4
17.257,2.328e4
17.307,2.328e4
17.357,2.328e4
17.407,2.328e4
17.457,2.328e4
17.507,2.328e4
17.557,2.328e4
17.607,2.328e4
17.657,2.328e4
17.707,2.328e4
17.757,2.328e4
17.807,2.328e4
17.857,2.328e4
17.907,2.328e4
17.957,2.328e4
18.007,2.328e4
18.057,2.328e4
18.107,2.328e4
18.157,2.328e4
18.207,2.328e4
18.257,2.328e4
18.307,2.328e4
18.357,2.328e4
18.407,2.328e4
18.457,2.328e4
18.507,2.328e4
18.557,2.328e4
18.607,2.328e4
18.657,2.328e4
18.707,2.328e4
18.757,2.328e4
18.807,2.328e4
18.857,2.328e4
18.907,2.328e4
18.957,2.328e4
19.007,2.328e4
19.057,2.328e4
19.107,2.328e4
19.157,2.328e4
19.207,2.328e4
19.257,2.328e4
19.307,2.328e4
19.357,2.328e4
19.407,2.328e4
19.457,2.328e4
19.507,2.328e4
19.557,2.328e4
19.607,2.328e4
19.657,2.328e4
19.707,2.328e4
19.757,2.328e4
19.807,2.328e4
19.857,2.328e4
19.907,2.328e4
19.957,2.328e4
20.007,2.328e4
20.057,2.328e4
20.107,2.328e4
20.157,2.328e4
20.207,2.328e4
20.257,2.328e4
20.307,2.328e4
20.357,2.328e4
20.407,2.328e4
20.457,2.328e4
20.507,2.328e4
20.557,2.328e4
20.607,2.328e4
20.657,2.328e4
20.707,2.328e4
20.757,2.328e4
20.807,2.328e4
20.857,2.328e4
20.907,2.328e4
20.957,2.328e4
21.007,2.328e4
21.057,2.328e4
21.107,2.328e4
21.157,2.328e4
21.207,2.328e4
21.257,2.328e4
21.307,2.328e4
21.357,2.328e4
21.407,2.328e4
21.457,2.328e4
21.507,2.328e4
21.557,2.328e4
21.607,2.328e4
21.657,2.328e4
21.707,2.328e4
21.757,2.328e4
21.807,2.328e4
21.857,2.328e4
21.907,2.328e4
21.957,2.328e4
22.007,2.328e4
22.057,2.328e4
22.107,2.328e4
22.157,2.328e4
22.207,2.328e4
22.257,2.328e4
22.307,2.328e4
22.357,2.328e4
22.407,2.328e4
22.457,2.328e4
22.507,2.328e4
22.557,2.328e4
22.607,2.328e4
22.657,2.328e4
22.707,2.328e4
22.757,2.328e4
22.807,2.328e4
22.857,2.328e4
22.907,2.328e4
22.957,2.328e4
23.007,2.328e4
23.057,2.328e4
23.107,2.328e4
23.157,2.328e4
23.207,2.328e4
23.257,2.328e4
23.307,2.328e4
23.357,2.328e4
23.407,2.328e4
23.457,2.328e4
23.507,2.328e4
23.557,2.328e4
23.607,2.328e4
23.657,2.328e4
23.707,2.328e4
23.757,2.328e4
23.807,2.328e4
23.857,2.328e4
23.907,2.328e4
23.957,2.328e4
24.007,2.328e4
24.057,2.328e4
24.107,2.328e4
24.157,2.328e4
24.207,2.328e4
24.257,2.328e4
24.307,2.328e4
24.357,2.328e4
24.407,2.328e4
24.457,2.328e4
24.507,2.328e4
24.557,2.328e4
24.607,2.328e4
24.657,2.328e4
24.707,2.328e4
24.757,2.328e4
24.807,2.328e4
24.857,2.328e4
24.907,2.328e4
24.957,2.328e4
25.007,2.328e4
25.057,2.328e4
25.107,2.328e4
25.157,2.328e4
25.207,2.328e4
25.257,2.328e4
25.307,2.328e4
