# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Gravitational acceleration (m/s²),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Mach number (​)
12.357,1.828e4,355.123,-23.608,2.328e4,9.773,322.333,0.418,-26.376,448.814,6.336e-4,1.127
12.407,1.834e4,353.944,-23.543,2.328e4,9.773,320.644,0.419,-26.491,447.698,6.323e-4,1.123
12.457,1.84e4,352.769,-23.478,2.328e4,9.773,318.907,0.421,-26.606,446.586,6.31e-4,1.12
12.507,1.846e4,351.597,-23.383,2.328e4,9.772,316.762,0.422,-26.72,445.478,6.298e-4,1.116
12.557,1.852e4,350.431,-23.283,2.328e4,9.772,314.629,0.422,-26.834,444.374,6.285e-4,1.113
12.607,1.857e4,349.269,-23.187,2.328e4,9.772,312.513,0.423,-26.948,443.273,6.272e-4,1.109
12.657,1.863e4,348.112,-23.095,2.328e4,9.772,310.41,0.424,-27.061,442.176,6.26e-4,1.106
12.707,1.869e4,346.959,-23.011,2.328e4,9.772,308.314,0.425,-27.174,441.083,6.247e-4,1.102
12.757,1.874e4,345.811,-22.922,2.328e4,9.772,306.133,0.425,-27.287,440.013,6.235e-4,1.099
12.807,1.88e4,344.667,-22.821,2.328e4,9.772,303.737,0.426,-27.399,438.986,6.223e-4,1.096
12.857,1.886e4,343.529,-22.718,2.328e4,9.772,301.357,0.426,-27.511,437.962,6.211e-4,1.092
12.907,1.891e4,342.395,-22.612,2.328e4,9.772,299,0.426,-27.622,436.942,6.2e-4,1.089
12.957,1.897e4,341.268,-22.506,2.328e4,9.772,296.669,0.427,-27.733,435.926,6.188e-4,1.085
13.007,1.903e4,340.145,-22.407,2.328e4,9.772,294.354,0.427,-27.844,434.912,6.176e-4,1.082
13.057,1.908e4,339.027,-22.303,2.328e4,9.772,291.839,0.427,-27.954,433.902,6.165e-4,1.079
13.107,1.914e4,337.915,-22.186,2.328e4,9.772,288.968,0.426,-28.064,432.896,6.153e-4,1.075
13.157,1.919e4,336.808,-22.065,2.328e4,9.772,286.136,0.426,-28.174,431.892,6.142e-4,1.072
13.207,1.925e4,335.708,-21.941,2.328e4,9.772,283.338,0.425,-28.283,430.892,6.13e-4,1.069
13.257,1.93e4,334.614,-21.82,2.328e4,9.772,280.568,0.424,-28.392,429.896,6.119e-4,1.066
13.307,1.936e4,333.526,-21.702,2.328e4,9.772,277.828,0.424,-28.501,428.902,6.107e-4,1.062
13.357,1.941e4,332.444,-21.575,2.328e4,9.772,274.969,0.423,-28.609,427.912,6.096e-4,1.059
13.407,1.947e4,331.369,-21.432,2.328e4,9.772,271.669,0.421,-28.717,426.925,6.085e-4,1.056
13.457,1.952e4,330.301,-21.296,2.328e4,9.771,268.41,0.42,-28.824,425.941,6.073e-4,1.053
13.507,1.957e4,329.239,-21.166,2.328e4,9.771,265.197,0.418,-28.932,424.96,6.062e-4,1.05
13.557,1.963e4,328.184,-21.033,2.328e4,9.771,262.031,0.417,-29.038,423.982,6.051e-4,1.046
13.607,1.968e4,327.136,-20.896,2.328e4,9.771,258.905,0.415,-29.145,423.008,6.039e-4,1.043
13.657,1.974e4,326.095,-20.758,2.328e4,9.771,255.824,0.414,-29.251,422.036,6.028e-4,1.04
13.707,1.979e4,325.061,-20.592,2.328e4,9.771,252.19,0.411,-29.357,421.068,6.017e-4,1.037
13.757,1.984e4,324.035,-20.435,2.328e4,9.771,248.555,0.408,-29.462,420.103,6.006e-4,1.034
13.807,1.99e4,323.017,-20.285,2.328e4,9.771,244.985,0.406,-29.568,419.141,5.994e-4,1.031
13.857,1.995e4,322.007,-20.141,2.328e4,9.771,241.48,0.403,-29.672,418.181,5.983e-4,1.028
13.907,2e4,321.003,-20.001,2.328e4,9.771,238.036,0.401,-29.777,417.225,5.972e-4,1.025
13.957,2.005e4,320.006,-19.863,2.328e4,9.771,234.636,0.398,-29.881,416.272,5.961e-4,1.022
14.007,2.011e4,319.017,-19.704,2.328e4,9.771,231.092,0.395,-29.985,415.322,5.95e-4,1.019
14.057,2.016e4,318.036,-19.523,2.328e4,9.771,227.131,0.392,-30.088,414.374,5.939e-4,1.016
14.107,2.021e4,317.065,-19.349,2.328e4,9.771,223.248,0.388,-30.192,413.43,5.928e-4,1.013
14.157,2.026e4,316.101,-19.184,2.328e4,9.771,219.431,0.385,-30.294,412.489,5.917e-4,1.01
14.207,2.031e4,315.146,-19.026,2.328e4,9.771,215.69,0.381,-30.397,411.55,5.906e-4,1.008
14.257,2.037e4,314.199,-18.876,2.328e4,9.771,212.017,0.377,-30.499,410.614,5.895e-4,1.005
14.307,2.042e4,313.258,-18.73,2.328e4,9.771,208.442,0.374,-30.601,409.732,5.885e-4,1.002
14.357,2.047e4,312.325,-18.612,2.328e4,9.771,205.573,0.372,-30.703,408.853,5.875e-4,0.999
14.407,2.052e4,311.396,-18.547,2.328e4,9.771,204.185,0.372,-30.804,407.977,5.865e-4,0.996
14.457,2.057e4,310.471,-18.478,2.328e4,9.771,202.811,0.372,-30.905,407.104,5.854e-4,0.994
14.507,2.062e4,309.549,-18.41,2.328e4,9.77,201.46,0.373,-31.006,406.233,5.844e-4,0.991
14.557,2.067e4,308.63,-18.35,2.328e4,9.77,200.113,0.373,-31.107,405.365,5.834e-4,0.988
14.607,2.072e4,307.713,-18.297,2.328e4,9.77,198.765,0.373,-31.207,404.499,5.824e-4,0.985
14.657,2.077e4,306.8,-18.252,2.328e4,9.77,197.425,0.374,-31.307,403.636,5.814e-4,0.983
14.707,2.082e4,305.888,-18.206,2.328e4,9.77,196.108,0.374,-31.406,402.775,5.804e-4,0.98
14.757,2.087e4,304.979,-18.154,2.328e4,9.77,194.795,0.374,-31.505,401.917,5.794e-4,0.977
14.807,2.092e4,304.073,-18.09,2.328e4,9.77,193.478,0.375,-31.604,401.062,5.784e-4,0.974
14.857,2.097e4,303.17,-18.025,2.328e4,9.77,192.167,0.375,-31.703,400.209,5.774e-4,0.972
14.907,2.102e4,302.271,-17.958,2.328e4,9.77,190.881,0.375,-31.801,399.358,5.764e-4,0.969
14.957,2.107e4,301.374,-17.899,2.328e4,9.77,189.602,0.376,-31.899,398.51,5.755e-4,0.966
15.007,2.112e4,300.481,-17.847,2.328e4,9.77,188.322,0.376,-31.997,397.665,5.745e-4,0.964
15.057,2.117e4,299.59,-17.799,2.328e4,9.77,187.049,0.377,-32.095,396.822,5.735e-4,0.961
15.107,2.122e4,298.701,-17.756,2.328e4,9.77,185.79,0.377,-32.192,395.981,5.725e-4,0.958
15.157,2.127e4,297.814,-17.709,2.328e4,9.77,184.546,0.377,-32.289,395.144,5.715e-4,0.956
15.207,2.132e4,296.93,-17.651,2.328e4,9.77,183.303,0.378,-32.386,394.308,5.705e-4,0.953
15.257,2.137e4,296.049,-17.591,2.328e4,9.77,182.065,0.378,-32.482,393.475,5.696e-4,0.95
15.307,2.141e4,295.171,-17.532,2.328e4,9.77,180.841,0.378,-32.578,392.645,5.686e-4,0.948
15.357,2.146e4,294.296,-17.475,2.328e4,9.77,179.628,0.379,-32.674,391.817,5.676e-4,0.945
15.407,2.151e4,293.423,-17.424,2.328e4,9.77,178.417,0.379,-32.769,390.991,5.666e-4,0.942
15.457,2.156e4,292.553,-17.373,2.328e4,9.77,177.22,0.379,-32.865,390.168,5.657e-4,0.94
15.507,2.161e4,291.686,-17.328,2.328e4,9.77,176.024,0.38,-32.959,389.347,5.647e-4,0.937
15.557,2.166e4,290.821,-17.283,2.328e4,9.769,174.843,0.38,-33.054,388.529,5.637e-4,0.935
15.607,2.17e4,289.958,-17.235,2.328e4,9.769,173.671,0.38,-33.149,387.713,5.628e-4,0.932
15.657,2.175e4,289.097,-17.185,2.328e4,9.769,172.502,0.381,-33.243,386.9,5.618e-4,0.929
15.707,2.18e4,288.239,-17.133,2.328e4,9.769,171.338,0.381,-33.336,386.089,5.609e-4,0.927
15.757,2.184e4,287.384,-17.078,2.328e4,9.769,170.182,0.381,-33.43,385.281,5.599e-4,0.924
15.807,2.189e4,286.531,-17.027,2.328e4,9.769,169.032,0.382,-33.523,384.474,5.589e-4,0.922
15.857,2.194e4,285.681,-16.972,2.328e4,9.769,167.901,0.382,-33.616,383.671,5.58e-4,0.919
15.907,2.199e4,284.834,-16.924,2.328e4,9.769,166.768,0.382,-33.709,382.869,5.57e-4,0.917
15.957,2.203e4,283.989,-16.878,2.328e4,9.769,165.654,0.383,-33.801,382.095,5.561e-4,0.914
16.007,2.208e4,283.146,-16.835,2.328e4,9.769,164.555,0.383,-33.894,381.343,5.553e-4,0.911
16.057,2.213e4,282.305,-16.794,2.328e4,9.769,163.466,0.383,-33.985,380.594,5.544e-4,0.909
16.107,2.217e4,281.467,-16.751,2.328e4,9.769,162.385,0.384,-34.077,379.846,5.535e-4,0.906
16.157,2.222e4,280.63,-16.704,2.328e4,9.769,161.308,0.384,-34.168,379.101,5.526e-4,0.904
16.207,2.226e4,279.796,-16.653,2.328e4,9.769,160.236,0.384,-34.259,378.358,5.517e-4,0.901
16.257,2.231e4,278.965,-16.592,2.328e4,9.769,158.937,0.384,-34.35,377.617,5.509e-4,0.899
16.307,2.235e4,278.137,-16.524,2.328e4,9.769,157.447,0.383,-34.441,376.879,5.5e-4,0.896
16.357,2.24e4,277.313,-16.461,2.328e4,9.769,155.977,0.383,-34.531,376.142,5.491e-4,0.894
16.407,2.245e4,276.491,-16.4,2.328e4,9.769,154.53,0.382,-34.621,375.408,5.483e-4,0.891
16.457,2.249e4,275.672,-16.342,2.328e4,9.769,153.107,0.381,-34.711,374.676,5.474e-4,0.889
16.507,2.254e4,274.857,-16.287,2.328e4,9.769,151.705,0.381,-34.8,373.946,5.466e-4,0.886
16.557,2.258e4,274.044,-16.231,2.328e4,9.769,150.328,0.38,-34.889,373.218,5.457e-4,0.884
16.607,2.263e4,273.234,-16.17,2.328e4,9.769,148.974,0.379,-34.978,372.493,5.448e-4,0.881
16.657,2.267e4,272.427,-16.11,2.328e4,9.769,147.636,0.379,-35.067,371.769,5.44e-4,0.879
16.707,2.272e4,271.623,-16.051,2.328e4,9.769,146.318,0.378,-35.155,371.048,5.431e-4,0.877
16.757,2.276e4,270.822,-15.994,2.328e4,9.768,145.016,0.378,-35.244,370.329,5.423e-4,0.874
16.807,2.28e4,270.023,-15.939,2.328e4,9.768,143.731,0.377,-35.331,369.612,5.414e-4,0.872
16.857,2.285e4,269.228,-15.884,2.328e4,9.768,142.467,0.377,-35.419,368.897,5.406e-4,0.869
16.907,2.289e4,268.435,-15.83,2.328e4,9.768,141.22,0.376,-35.506,368.184,5.397e-4,0.867
16.957,2.294e4,267.645,-15.779,2.328e4,9.768,139.985,0.376,-35.594,367.473,5.389e-4,0.864
17.007,2.298e4,266.857,-15.73,2.328e4,9.768,138.766,0.375,-35.68,366.764,5.38e-4,0.862
17.057,2.302e4,266.072,-15.679,2.328e4,9.768,137.565,0.375,-35.767,366.058,5.372e-4,0.86
17.107,2.307e4,265.289,-15.629,2.328e4,9.768,136.376,0.374,-35.853,365.353,5.364e-4,0.857
17.157,2.311e4,264.509,-15.577,2.328e4,9.768,135.202,0.374,-35.939,364.651,5.355e-4,0.855
17.207,2.315e4,263.731,-15.525,2.328e4,9.768,134.042,0.373,-36.025,363.951,5.347e-4,0.853
17.257,2.32e4,262.956,-15.474,2.328e4,9.768,132.895,0.373,-36.111,363.252,5.339e-4,0.85
17.307,2.324e4,262.184,-15.422,2.328e4,9.768,131.769,0.373,-36.196,362.556,5.33e-4,0.848
17.357,2.328e4,261.414,-15.373,2.328e4,9.768,130.656,0.372,-36.281,361.862,5.322e-4,0.845
17.407,2.333e4,260.647,-15.328,2.328e4,9.768,129.545,0.372,-36.366,361.17,5.314e-4,0.843
17.457,2.337e4,259.881,-15.283,2.328e4,9.768,128.453,0.371,-36.451,360.48,5.305e-4,0.841
17.507,2.341e4,259.118,-15.24,2.328e4,9.768,127.37,0.371,-36.535,359.792,5.297e-4,0.838
17.557,2.345e4,258.357,-15.197,2.328e4,9.768,126.302,0.371,-36.619,359.106,5.289e-4,0.836
17.607,2.35e4,257.599,-15.151,2.328e4,9.768,125.247,0.37,-36.703,358.421,5.281e-4,0.834
17.657,2.354e4,256.842,-15.104,2.328e4,9.768,124.203,0.37,-36.787,357.739,5.273e-4,0.831
17.707,2.358e4,256.088,-15.058,2.328e4,9.768,123.168,0.37,-36.87,357.059,5.264e-4,0.829
17.757,2.362e4,255.336,-15.011,2.328e4,9.768,122.148,0.369,-36.953,356.381,5.256e-4,0.827
17.807,2.366e4,254.587,-14.966,2.328e4,9.768,121.144,0.369,-37.036,355.722,5.248e-4,0.825
17.857,2.371e4,253.84,-14.924,2.328e4,9.768,120.152,0.369,-37.119,355.086,5.241e-4,0.822
17.907,2.375e4,253.095,-14.884,2.328e4,9.768,119.17,0.368,-37.201,354.452,5.233e-4,0.82
17.957,2.379e4,252.351,-14.843,2.328e4,9.767,118.202,0.368,-37.283,353.82,5.226e-4,0.818
18.007,2.383e4,251.61,-14.805,2.328e4,9.767,117.241,0.368,-37.365,353.19,5.218e-4,0.815
18.057,2.387e4,250.871,-14.764,2.328e4,9.767,116.291,0.367,-37.447,352.562,5.211e-4,0.813
18.107,2.391e4,250.134,-14.724,2.328e4,9.767,115.35,0.367,-37.528,351.935,5.203e-4,0.811
18.157,2.395e4,249.399,-14.682,2.328e4,9.767,114.419,0.367,-37.609,351.311,5.196e-4,0.809
18.207,2.4e4,248.666,-14.641,2.328e4,9.767,113.497,0.367,-37.69,350.688,5.189e-4,0.806
18.257,2.404e4,247.935,-14.599,2.328e4,9.767,112.588,0.366,-37.771,350.067,5.181e-4,0.804
18.307,2.408e4,247.206,-14.561,2.328e4,9.767,111.68,0.366,-37.851,349.448,5.174e-4,0.802
18.357,2.412e4,246.479,-14.523,2.328e4,9.767,110.783,0.366,-37.931,348.831,5.166e-4,0.8
18.407,2.416e4,245.753,-14.484,2.328e4,9.767,109.899,0.365,-38.011,348.215,5.159e-4,0.798
18.457,2.42e4,245.03,-14.447,2.328e4,9.767,109.02,0.365,-38.091,347.602,5.152e-4,0.795
18.507,2.424e4,244.309,-14.411,2.328e4,9.767,108.149,0.365,-38.171,346.99,5.144e-4,0.793
18.557,2.428e4,243.589,-14.377,2.328e4,9.767,107.285,0.365,-38.25,346.38,5.137e-4,0.791
18.607,2.432e4,242.871,-14.341,2.328e4,9.767,106.429,0.364,-38.329,345.771,5.13e-4,0.789
18.657,2.436e4,242.155,-14.304,2.328e4,9.767,105.583,0.364,-38.408,345.165,5.122e-4,0.786
18.707,2.44e4,241.441,-14.267,2.328e4,9.767,104.742,0.364,-38.486,344.56,5.115e-4,0.784
18.757,2.444e4,240.728,-14.233,2.328e4,9.767,103.905,0.364,-38.565,343.957,5.108e-4,0.782
18.807,2.448e4,240.017,-14.194,2.328e4,9.767,103.08,0.363,-38.643,343.356,5.101e-4,0.78
18.857,2.452e4,239.309,-14.155,2.328e4,9.767,102.267,0.363,-38.721,342.757,5.093e-4,0.778
18.907,2.455e4,238.602,-14.117,2.328e4,9.767,101.463,0.363,-38.798,342.159,5.086e-4,0.776
18.957,2.459e4,237.897,-14.084,2.328e4,9.767,100.657,0.363,-38.876,341.563,5.079e-4,0.773
19.007,2.463e4,237.194,-14.05,2.328e4,9.767,99.861,0.363,-38.953,340.969,5.072e-4,0.771
19.057,2.467e4,236.492,-14.018,2.328e4,9.767,99.072,0.362,-39.03,340.377,5.065e-4,0.769
19.107,2.471e4,235.792,-13.987,2.328e4,9.767,98.29,0.362,-39.107,339.787,5.058e-4,0.767
19.157,2.475e4,235.093,-13.956,2.328e4,9.767,97.518,0.362,-39.183,339.198,5.051e-4,0.765
19.207,2.479e4,234.396,-13.926,2.328e4,9.767,96.75,0.362,-39.26,338.611,5.043e-4,0.763
19.257,2.483e4,233.7,-13.897,2.328e4,9.767,95.988,0.361,-39.336,338.025,5.036e-4,0.76
19.307,2.486e4,233.006,-13.865,2.328e4,9.766,95.23,0.361,-39.412,337.442,5.029e-4,0.758
19.357,2.49e4,232.314,-13.83,2.328e4,9.766,94.477,0.361,-39.487,336.86,5.022e-4,0.756
19.407,2.494e4,231.623,-13.796,2.328e4,9.766,93.729,0.361,-39.563,336.28,5.015e-4,0.754
19.457,2.498e4,230.934,-13.76,2.328e4,9.766,92.988,0.361,-39.638,335.702,5.008e-4,0.752
19.507,2.502e4,230.247,-13.724,2.328e4,9.766,92.259,0.36,-39.713,335.125,5.001e-4,0.75
19.557,2.505e4,229.562,-13.689,2.328e4,9.766,91.543,0.36,-39.787,334.55,4.994e-4,0.748
19.607,2.509e4,228.878,-13.657,2.328e4,9.766,90.826,0.36,-39.862,333.977,4.987e-4,0.746
19.657,2.513e4,228.196,-13.628,2.328e4,9.766,90.11,0.36,-39.936,333.405,4.98e-4,0.743
19.707,2.517e4,227.516,-13.6,2.328e4,9.766,89.399,0.36,-40.01,332.835,4.973e-4,0.741
19.757,2.52e4,226.836,-13.574,2.328e4,9.766,88.693,0.36,-40.084,332.267,4.966e-4,0.739
19.807,2.524e4,226.158,-13.549,2.328e4,9.766,87.997,0.359,-40.158,331.701,4.96e-4,0.737
19.857,2.528e4,225.481,-13.524,2.328e4,9.766,87.31,0.359,-40.231,331.136,4.953e-4,0.735
19.907,2.531e4,224.806,-13.497,2.328e4,9.766,86.634,0.359,-40.304,330.597,4.946e-4,0.733
19.957,2.535e4,224.132,-13.467,2.328e4,9.766,85.962,0.359,-40.377,330.068,4.94e-4,0.731
20.007,2.539e4,223.459,-13.432,2.328e4,9.766,85.295,0.359,-40.45,329.541,4.933e-4,0.729
20.057,2.542e4,222.788,-13.399,2.328e4,9.766,84.638,0.358,-40.522,329.015,4.927e-4,0.727
20.107,2.546e4,222.119,-13.368,2.328e4,9.766,83.984,0.358,-40.595,328.491,4.921e-4,0.725
20.157,2.55e4,221.452,-13.339,2.328e4,9.766,83.336,0.358,-40.667,327.968,4.914e-4,0.722
20.207,2.553e4,220.785,-13.311,2.328e4,9.766,82.691,0.358,-40.739,327.447,4.908e-4,0.72
20.257,2.557e4,220.121,-13.284,2.328e4,9.766,82.052,0.358,-40.81,326.928,4.902e-4,0.718
20.307,2.561e4,219.457,-13.258,2.328e4,9.766,81.415,0.358,-40.882,326.41,4.896e-4,0.716
20.357,2.564e4,218.795,-13.233,2.328e4,9.766,80.785,0.358,-40.953,325.893,4.889e-4,0.714
20.407,2.568e4,218.134,-13.21,2.328e4,9.766,80.159,0.357,-41.024,325.378,4.883e-4,0.712
20.457,2.571e4,217.474,-13.185,2.328e4,9.766,79.541,0.357,-41.095,324.865,4.877e-4,0.71
20.507,2.575e4,216.815,-13.16,2.328e4,9.766,78.928,0.357,-41.165,324.353,4.871e-4,0.708
20.557,2.578e4,216.158,-13.135,2.328e4,9.766,78.317,0.357,-41.236,323.843,4.865e-4,0.706
20.607,2.582e4,215.502,-13.109,2.328e4,9.766,77.711,0.357,-41.306,323.335,4.858e-4,0.704
20.657,2.586e4,214.847,-13.079,2.328e4,9.766,77.11,0.357,-41.376,322.828,4.852e-4,0.702
20.707,2.589e4,214.194,-13.051,2.328e4,9.766,76.513,0.356,-41.445,322.322,4.846e-4,0.7
20.757,2.593e4,213.542,-13.023,2.328e4,9.766,75.925,0.356,-41.515,321.818,4.84e-4,0.698
20.807,2.596e4,212.891,-12.996,2.328e4,9.765,75.338,0.356,-41.584,321.316,4.834e-4,0.696
20.857,2.6e4,212.242,-12.97,2.328e4,9.765,74.757,0.356,-41.653,320.815,4.828e-4,0.694
20.907,2.603e4,211.594,-12.947,2.328e4,9.765,74.174,0.356,-41.722,320.315,4.822e-4,0.692
20.957,2.606e4,210.947,-12.923,2.328e4,9.765,73.599,0.356,-41.791,319.817,4.816e-4,0.69
21.007,2.61e4,210.302,-12.9,2.328e4,9.765,73.028,0.356,-41.859,319.321,4.81e-4,0.688
21.057,2.613e4,209.657,-12.878,2.328e4,9.765,72.463,0.355,-41.928,318.826,4.804e-4,0.686
21.107,2.617e4,209.014,-12.856,2.328e4,9.765,71.9,0.355,-41.996,318.333,4.798e-4,0.684
21.157,2.62e4,208.372,-12.834,2.328e4,9.765,71.343,0.355,-42.063,317.841,4.792e-4,0.682
21.207,2.624e4,207.731,-12.81,2.328e4,9.765,70.79,0.355,-42.131,317.351,4.786e-4,0.68
21.257,2.627e4,207.091,-12.786,2.328e4,9.765,70.239,0.355,-42.198,316.862,4.78e-4,0.678
21.307,2.63e4,206.452,-12.761,2.328e4,9.765,69.693,0.355,-42.266,316.375,4.774e-4,0.676
21.357,2.634e4,205.815,-12.736,2.328e4,9.765,69.15,0.355,-42.333,315.889,4.768e-4,0.674
21.407,2.637e4,205.179,-12.711,2.328e4,9.765,68.612,0.355,-42.399,315.405,4.762e-4,0.672
21.457,2.641e4,204.544,-12.686,2.328e4,9.765,68.082,0.354,-42.466,314.922,4.756e-4,0.67
21.507,2.644e4,203.91,-12.66,2.328e4,9.765,67.562,0.354,-42.532,314.441,4.75e-4,0.668
21.557,2.647e4,203.278,-12.636,2.328e4,9.765,67.044,0.354,-42.599,313.961,4.744e-4,0.666
21.607,2.651e4,202.646,-12.614,2.328e4,9.765,66.522,0.354,-42.665,313.483,4.738e-4,0.664
21.657,2.654e4,202.016,-12.593,2.328e4,9.765,66.003,0.354,-42.73,313.006,4.732e-4,0.662
21.707,2.657e4,201.387,-12.573,2.328e4,9.765,65.487,0.354,-42.796,312.53,4.726e-4,0.66
21.757,2.661e4,200.759,-12.556,2.328e4,9.765,64.973,0.354,-42.861,312.057,4.721e-4,0.658
21.807,2.664e4,200.131,-12.538,2.328e4,9.765,64.47,0.354,-42.926,311.584,4.715e-4,0.656
21.857,2.667e4,199.505,-12.519,2.328e4,9.765,63.971,0.353,-42.991,311.113,4.709e-4,0.654
21.907,2.67e4,198.88,-12.5,2.328e4,9.765,63.475,0.353,-43.056,310.644,4.703e-4,0.652
21.957,2.674e4,198.255,-12.479,2.328e4,9.765,62.981,0.353,-43.121,310.176,4.697e-4,0.65
22.007,2.677e4,197.632,-12.457,2.328e4,9.765,62.488,0.353,-43.185,309.709,4.692e-4,0.648
22.057,2.68e4,197.009,-12.433,2.328e4,9.765,61.996,0.353,-43.249,309.244,4.686e-4,0.646
22.107,2.683e4,196.388,-12.409,2.328e4,9.765,61.509,0.353,-43.313,308.781,4.68e-4,0.644
22.157,2.687e4,195.769,-12.385,2.328e4,9.765,61.027,0.353,-43.377,308.319,4.675e-4,0.642
22.207,2.69e4,195.15,-12.362,2.328e4,9.765,60.55,0.353,-43.44,307.858,4.669e-4,0.64
22.257,2.693e4,194.532,-12.34,2.328e4,9.765,60.075,0.353,-43.504,307.401,4.663e-4,0.638
22.307,2.696e4,193.916,-12.318,2.328e4,9.765,59.615,0.352,-43.567,306.97,4.658e-4,0.636
22.357,2.699e4,193.301,-12.298,2.328e4,9.765,59.155,0.352,-43.63,306.54,4.653e-4,0.634
22.407,2.702e4,192.686,-12.279,2.328e4,9.764,58.693,0.352,-43.692,306.112,4.647e-4,0.632
22.457,2.706e4,192.073,-12.259,2.328e4,9.764,58.237,0.352,-43.755,305.685,4.642e-4,0.631
22.507,2.709e4,191.46,-12.243,2.328e4,9.764,57.778,0.352,-43.817,305.259,4.637e-4,0.629
22.557,2.712e4,190.848,-12.227,2.328e4,9.764,57.325,0.352,-43.879,304.835,4.632e-4,0.627
22.607,2.715e4,190.238,-12.21,2.328e4,9.764,56.88,0.352,-43.941,304.412,4.627e-4,0.625
22.657,2.718e4,189.627,-12.192,2.328e4,9.764,56.439,0.352,-44.003,303.991,4.622e-4,0.623
22.707,2.721e4,189.018,-12.174,2.328e4,9.764,56.001,0.352,-44.064,303.571,4.616e-4,0.621
22.757,2.724e4,188.41,-12.157,2.328e4,9.764,55.564,0.352,-44.126,303.152,4.611e-4,0.619
22.807,2.727e4,187.803,-12.138,2.328e4,9.764,55.13,0.351,-44.187,302.735,4.606e-4,0.617
22.857,2.731e4,187.196,-12.118,2.328e4,9.764,54.698,0.351,-44.248,302.319,4.601e-4,0.615
22.907,2.734e4,186.591,-12.097,2.328e4,9.764,54.269,0.351,-44.309,301.904,4.596e-4,0.613
22.957,2.737e4,185.987,-12.077,2.328e4,9.764,53.843,0.351,-44.369,301.491,4.591e-4,0.611
23.007,2.74e4,185.383,-12.055,2.328e4,9.764,53.426,0.351,-44.429,301.079,4.586e-4,0.609
23.057,2.743e4,184.781,-12.035,2.328e4,9.764,53.013,0.351,-44.49,300.668,4.581e-4,0.608
23.107,2.746e4,184.18,-12.017,2.328e4,9.764,52.594,0.351,-44.55,300.259,4.576e-4,0.606
23.157,2.749e4,183.579,-11.999,2.328e4,9.764,52.182,0.351,-44.609,299.851,4.571e-4,0.604
23.207,2.752e4,182.98,-11.982,2.328e4,9.764,51.77,0.351,-44.669,299.444,4.566e-4,0.602
23.257,2.755e4,182.381,-11.966,2.328e4,9.764,51.362,0.351,-44.728,299.039,4.561e-4,0.6
23.307,2.758e4,181.783,-11.95,2.328e4,9.764,50.955,0.35,-44.787,298.635,4.556e-4,0.598
23.357,2.761e4,181.186,-11.934,2.328e4,9.764,50.554,0.35,-44.846,298.232,4.551e-4,0.596
23.407,2.764e4,180.59,-11.919,2.328e4,9.764,50.154,0.35,-44.905,297.831,4.546e-4,0.594
23.457,2.767e4,179.994,-11.905,2.328e4,9.764,49.757,0.35,-44.964,297.431,4.541e-4,0.592
23.507,2.77e4,179.399,-11.888,2.328e4,9.764,49.366,0.35,-45.022,297.032,4.536e-4,0.59
23.557,2.773e4,178.805,-11.872,2.328e4,9.764,48.976,0.35,-45.08,296.635,4.531e-4,0.589
23.607,2.775e4,178.212,-11.855,2.328e4,9.764,48.587,0.35,-45.138,296.239,4.526e-4,0.587
23.657,2.778e4,177.62,-11.837,2.328e4,9.764,48.201,0.35,-45.196,295.844,4.521e-4,0.585
23.707,2.781e4,177.028,-11.819,2.328e4,9.764,47.818,0.35,-45.254,295.45,4.516e-4,0.583
23.757,2.784e4,176.438,-11.802,2.328e4,9.764,47.437,0.35,-45.311,295.058,4.511e-4,0.581
23.807,2.787e4,175.848,-11.786,2.328e4,9.764,47.056,0.35,-45.369,294.667,4.507e-4,0.579
23.857,2.79e4,175.259,-11.769,2.328e4,9.764,46.679,0.35,-45.426,294.278,4.502e-4,0.577
23.907,2.793e4,174.671,-11.751,2.328e4,9.764,46.308,0.349,-45.482,293.89,4.497e-4,0.575
23.957,2.796e4,174.084,-11.733,2.328e4,9.764,45.94,0.349,-45.539,293.503,4.492e-4,0.574
24.007,2.799e4,173.498,-11.716,2.328e4,9.764,45.575,0.349,-45.596,293.117,4.487e-4,0.572
24.057,2.801e4,172.913,-11.701,2.328e4,9.764,45.205,0.349,-45.652,292.733,4.483e-4,0.57
24.107,2.804e4,172.328,-11.685,2.328e4,9.764,44.843,0.349,-45.708,292.35,4.478e-4,0.568
24.157,2.807e4,171.744,-11.671,2.328e4,9.764,44.48,0.349,-45.764,291.968,4.473e-4,0.566
24.207,2.81e4,171.161,-11.655,2.328e4,9.763,44.124,0.349,-45.82,291.588,4.468e-4,0.564
24.257,2.813e4,170.579,-11.642,2.328e4,9.763,43.765,0.349,-45.875,291.208,4.464e-4,0.562
24.307,2.815e4,169.997,-11.628,2.328e4,9.763,43.411,0.349,-45.931,290.831,4.459e-4,0.561
24.357,2.818e4,169.416,-11.614,2.328e4,9.763,43.061,0.349,-45.986,290.454,4.454e-4,0.559
24.407,2.821e4,168.836,-11.599,2.328e4,9.763,42.713,0.349,-46.041,290.079,4.45e-4,0.557
24.457,2.824e4,168.256,-11.586,2.328e4,9.763,42.366,0.349,-46.095,289.705,4.445e-4,0.555
