# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²)
39.207,3.258e4,15.512,-9.766
39.257,3.258e4,15.024,-9.765
39.307,3.259e4,14.535,-9.764
39.357,3.259e4,14.047,-9.764
39.407,3.259e4,13.559,-9.762
39.457,3.259e4,13.071,-9.761
39.507,3.26e4,12.583,-9.76
39.557,3.26e4,12.095,-9.758
39.607,3.26e4,11.607,-9.757
39.657,3.26e4,11.119,-9.757
39.707,3.26e4,10.631,-9.755
39.757,3.26e4,10.144,-9.754
39.807,3.261e4,9.656,-9.753
39.857,3.261e4,9.168,-9.751
39.907,3.261e4,8.681,-9.751
39.957,3.261e4,8.193,-9.749
40.007,3.261e4,7.706,-9.748
40.057,3.261e4,7.219,-9.747
40.107,3.261e4,6.731,-9.745
40.157,3.262e4,6.244,-9.742
40.207,3.262e4,5.757,-9.742
40.257,3.262e4,5.27,-9.741
40.307,3.262e4,4.783,-9.74
40.357,3.262e4,4.296,-9.739
40.407,3.262e4,3.809,-9.738
40.457,3.262e4,3.322,-9.738
40.507,3.262e4,2.835,-9.736
40.557,3.262e4,2.348,-9.735
40.607,3.262e4,1.861,-9.751
40.657,3.262e4,1.373,-9.751
40.707,3.262e4,0.886,-9.751
40.757,3.262e4,0.398,-9.75
40.807,3.262e4,-0.089,-9.75
40.857,3.262e4,-0.577,-9.754
40.96,3.262e4,-1.577,-9.743
41.062,3.262e4,-2.577,-9.731
41.165,3.262e4,-3.577,-9.716
41.268,3.262e4,-4.577,-9.699
41.371,3.262e4,-5.577,-9.68
41.474,3.261e4,-6.577,-9.656
41.578,3.261e4,-7.577,-9.629
41.682,3.261e4,-8.577,-9.598
41.786,3.261e4,-9.576,-9.565
41.89,3.26e4,-10.576,-9.526
41.995,3.26e4,-11.576,-9.482
42.101,3.26e4,-12.576,-9.436
42.207,3.259e4,-13.576,-9.387
42.313,3.259e4,-14.576,-9.333
42.42,3.258e4,-15.576,-9.276
42.528,3.257e4,-16.576,-9.216
42.637,3.257e4,-17.576,-9.151
42.746,3.256e4,-18.575,-9.083
42.856,3.256e4,-19.575,-9.01
42.967,3.255e4,-20.575,-8.933
43.079,3.254e4,-21.575,-8.853
43.192,3.253e4,-22.574,-8.77
43.306,3.252e4,-23.574,-8.682
43.421,3.251e4,-24.574,-8.591
43.537,3.25e4,-25.573,-8.496
43.655,3.249e4,-26.573,-8.396
43.774,3.248e4,-27.573,-8.293
43.895,3.247e4,-28.572,-8.186
44.017,3.246e4,-29.572,-8.076
44.14,3.245e4,-30.571,-7.961
44.266,3.244e4,-31.57,-7.842
44.393,3.242e4,-32.57,-7.722
44.523,3.241e4,-33.569,-7.593
44.654,3.239e4,-34.568,-7.463
44.788,3.238e4,-35.567,-7.326
44.925,3.236e4,-36.566,-7.188
45.064,3.235e4,-37.565,-7.046
45.205,3.233e4,-38.564,-6.899
45.35,3.231e4,-39.563,-6.748
45.498,3.229e4,-40.562,-6.592
45.65,3.227e4,-41.56,-6.433
45.805,3.225e4,-42.559,-6.271
45.964,3.223e4,-43.557,-6.104
46.128,3.22e4,-44.555,-5.933
46.296,3.218e4,-45.553,-5.757
46.469,3.215e4,-46.551,-5.577
46.648,3.212e4,-47.549,-5.394
46.833,3.209e4,-48.547,-5.204
47.025,3.206e4,-49.545,-5.008
47.224,3.203e4,-50.541,-4.812
47.431,3.2e4,-51.538,-4.608
47.647,3.196e4,-52.535,-4.401
47.873,3.192e4,-53.531,-4.189
48.111,3.188e4,-54.527,-3.974
48.362,3.183e4,-55.523,-3.751
48.627,3.178e4,-56.518,-3.522
48.909,3.173e4,-57.512,-3.289
49.212,3.167e4,-58.507,-3.05
49.538,3.161e4,-59.501,-2.804
49.892,3.154e4,-60.494,-2.551
50.281,3.146e4,-61.487,-2.29
50.714,3.137e4,-62.478,-2.022
51.203,3.127e4,-63.467,-1.745
51.703,3.117e4,-64.339,-1.491
52.203,3.106e4,-65.085,-1.263
52.703,3.096e4,-65.716,-1.062
53.203,3.085e4,-66.247,-0.887
53.703,3.074e4,-66.691,-0.731
54.203,3.063e4,-67.056,-0.595
54.703,3.052e4,-67.354,-0.476
55.203,3.041e4,-67.592,-0.373
55.703,3.03e4,-67.778,-0.282
56.203,3.019e4,-67.92,-0.205
56.703,3.007e4,-68.022,-0.133
57.203,2.996e4,-68.089,-0.073
57.703,2.985e4,-68.125,-0.021
58.203,2.974e4,-68.136,0.024
58.703,2.963e4,-68.124,0.062
59.203,2.951e4,-68.093,0.094
59.703,2.94e4,-68.046,0.121
60.203,2.929e4,-67.985,0.146
60.703,2.918e4,-67.912,0.166
61.203,2.907e4,-67.829,0.182
61.703,2.896e4,-67.739,0.195
62.203,2.885e4,-67.641,0.207
62.703,2.874e4,-67.538,0.216
63.203,2.863e4,-67.43,0.224
63.703,2.851e4,-67.318,0.232
64.203,2.84e4,-67.202,0.24
64.703,2.829e4,-67.082,0.246
65.203,2.818e4,-66.959,0.251
65.703,2.807e4,-66.833,0.254
66.203,2.796e4,-66.706,0.257
66.703,2.786e4,-66.577,0.259
67.203,2.775e4,-66.448,0.261
67.703,2.764e4,-66.317,0.262
68.203,2.753e4,-66.187,0.262
68.703,2.742e4,-66.056,0.262
69.203,2.731e4,-65.925,0.261
69.703,2.72e4,-65.794,0.26
70.203,2.71e4,-65.664,0.259
70.703,2.699e4,-65.535,0.258
71.203,2.688e4,-65.406,0.258
71.703,2.677e4,-65.277,0.259
72.203,2.667e4,-65.148,0.259
72.703,2.656e4,-65.018,0.259
73.203,2.645e4,-64.889,0.259
73.703,2.635e4,-64.759,0.258
74.203,2.624e4,-64.63,0.257
74.703,2.614e4,-64.501,0.256
75.203,2.603e4,-64.373,0.255
75.703,2.592e4,-64.246,0.253
76.203,2.582e4,-64.119,0.252
76.703,2.571e4,-63.994,0.25
77.203,2.561e4,-63.869,0.248
77.703,2.55e4,-63.745,0.246
78.203,2.54e4,-63.622,0.244
78.703,2.53e4,-63.5,0.242
79.203,2.519e4,-63.379,0.243
79.703,2.509e4,-63.258,0.243
80.203,2.498e4,-63.136,0.243
80.703,2.488e4,-63.015,0.243
81.203,2.478e4,-62.893,0.241
81.703,2.467e4,-62.773,0.241
82.203,2.457e4,-62.652,0.239
82.703,2.447e4,-62.533,0.238
83.203,2.437e4,-62.414,0.236
83.703,2.426e4,-62.296,0.235
84.203,2.416e4,-62.178,0.233
84.703,2.406e4,-62.061,0.232
85.203,2.396e4,-61.946,0.23
85.703,2.386e4,-61.831,0.228
86.203,2.376e4,-61.717,0.226
86.703,2.365e4,-61.604,0.224
87.203,2.355e4,-61.491,0.225
87.703,2.345e4,-61.379,0.225
88.203,2.335e4,-61.266,0.225
88.703,2.325e4,-61.154,0.225
89.203,2.315e4,-61.041,0.224
89.703,2.305e4,-60.929,0.223
90.203,2.295e4,-60.818,0.222
90.703,2.285e4,-60.707,0.221
91.203,2.275e4,-60.596,0.22
91.703,2.265e4,-60.486,0.218
92.203,2.255e4,-60.377,0.217
92.703,2.245e4,-60.269,0.215
93.203,2.236e4,-60.161,0.214
93.703,2.226e4,-60.054,0.212
94.203,2.216e4,-59.948,0.21
94.703,2.206e4,-59.843,0.209
95.203,2.196e4,-59.739,0.208
95.703,2.186e4,-59.635,0.209
96.203,2.177e4,-59.53,0.209
96.703,2.167e4,-59.426,0.209
97.203,2.157e4,-59.321,0.208
97.703,2.147e4,-59.217,0.208
98.203,2.138e4,-59.113,0.207
98.703,2.128e4,-59.01,0.206
99.203,2.118e4,-58.907,0.205
99.703,2.109e4,-58.805,0.204
100.203,2.099e4,-58.703,0.203
100.703,2.089e4,-58.601,0.201
101.203,2.08e4,-58.501,0.199
101.703,2.07e4,-58.401,0.198
102.203,2.061e4,-58.302,0.197
102.703,2.051e4,-58.204,0.195
103.203,2.042e4,-58.106,0.194
103.703,2.032e4,-58.009,0.193
104.203,2.023e4,-57.913,0.194
104.703,2.013e4,-57.816,0.194
105.203,2.004e4,-57.719,0.194
105.703,1.994e4,-57.622,0.194
106.203,1.985e4,-57.525,0.193
106.703,1.975e4,-57.428,0.193
107.203,1.966e4,-57.332,0.192
107.703,1.956e4,-57.236,0.191
108.203,1.947e4,-57.141,0.189
108.703,1.938e4,-57.046,0.188
109.203,1.928e4,-56.952,0.187
109.703,1.919e4,-56.859,0.186
110.203,1.91e4,-56.766,0.184
110.703,1.9e4,-56.673,0.183
111.203,1.891e4,-56.582,0.182
111.703,1.882e4,-56.491,0.181
112.203,1.873e4,-56.401,0.179
112.703,1.863e4,-56.311,0.18
113.203,1.854e4,-56.221,0.18
113.703,1.845e4,-56.131,0.181
114.203,1.836e4,-56.04,0.18
114.703,1.827e4,-55.95,0.18
115.203,1.817e4,-55.86,0.18
115.703,1.808e4,-55.77,0.179
116.203,1.799e4,-55.681,0.178
116.703,1.79e4,-55.592,0.177
117.203,1.781e4,-55.503,0.176
117.703,1.772e4,-55.415,0.175
118.203,1.763e4,-55.328,0.174
118.703,1.754e4,-55.241,0.173
119.203,1.745e4,-55.154,0.171
119.703,1.735e4,-55.069,0.17
120.203,1.726e4,-54.983,0.169
120.703,1.717e4,-54.899,0.168
121.203,1.708e4,-54.815,0.167
121.703,1.699e4,-54.732,0.168
122.203,1.69e4,-54.648,0.168
122.703,1.682e4,-54.564,0.168
123.203,1.673e4,-54.48,0.168
123.703,1.664e4,-54.396,0.168
124.203,1.655e4,-54.312,0.167
124.703,1.646e4,-54.228,0.167
125.203,1.637e4,-54.145,0.166
125.703,1.628e4,-54.062,0.165
126.203,1.619e4,-53.979,0.164
126.703,1.61e4,-53.897,0.163
127.203,1.602e4,-53.816,0.162
127.703,1.593e4,-53.735,0.161
128.203,1.584e4,-53.654,0.16
128.703,1.575e4,-53.574,0.159
129.203,1.566e4,-53.494,0.158
129.703,1.558e4,-53.415,0.157
130.203,1.549e4,-53.337,0.156
130.703,1.54e4,-53.259,0.156
131.203,1.531e4,-53.181,0.156
131.703,1.523e4,-53.103,0.157
132.203,1.514e4,-53.024,0.157
132.703,1.505e4,-52.946,0.157
133.203,1.497e4,-52.868,0.156
133.703,1.488e4,-52.789,0.156
134.203,1.479e4,-52.711,0.155
134.703,1.471e4,-52.634,0.155
135.203,1.462e4,-52.557,0.154
135.703,1.453e4,-52.48,0.153
136.203,1.445e4,-52.403,0.152
136.703,1.436e4,-52.327,0.151
137.203,1.428e4,-52.252,0.15
137.703,1.419e4,-52.177,0.149
138.203,1.41e4,-52.102,0.148
138.703,1.402e4,-52.028,0.147
139.203,1.393e4,-51.954,0.146
139.703,1.385e4,-51.881,0.145
140.203,1.376e4,-51.809,0.145
140.703,1.368e4,-51.736,0.146
141.203,1.359e4,-51.663,0.146
141.703,1.351e4,-51.59,0.147
142.203,1.342e4,-51.516,0.146
142.703,1.334e4,-51.443,0.146
143.203,1.326e4,-51.37,0.146
143.703,1.317e4,-51.297,0.145
144.203,1.309e4,-51.225,0.144
144.703,1.3e4,-51.153,0.144
145.203,1.292e4,-51.081,0.143
145.703,1.284e4,-51.009,0.142
146.203,1.275e4,-50.938,0.142
146.703,1.267e4,-50.868,0.14
147.203,1.259e4,-50.797,0.14
147.703,1.25e4,-50.728,0.139
148.203,1.242e4,-50.658,0.138
148.703,1.234e4,-50.589,0.137
149.203,1.225e4,-50.521,0.136
149.703,1.217e4,-50.453,0.135
150.203,1.209e4,-50.385,0.136
150.703,1.2e4,-50.317,0.136
151.203,1.192e4,-50.249,0.137
151.703,1.184e4,-50.18,0.137
152.203,1.176e4,-50.112,0.137
152.703,1.168e4,-50.044,0.136
153.203,1.159e4,-49.975,0.136
153.703,1.151e4,-49.907,0.135
154.203,1.143e4,-49.84,0.135
154.703,1.135e4,-49.772,0.134
155.203,1.127e4,-49.705,0.133
155.703,1.118e4,-49.639,0.133
156.203,1.11e4,-49.572,0.132
156.703,1.102e4,-49.506,0.131
157.203,1.094e4,-49.441,0.13
157.703,1.086e4,-49.375,0.13
158.203,1.078e4,-49.311,0.129
158.703,1.07e4,-49.246,0.128
159.203,1.062e4,-49.182,0.127
159.703,1.054e4,-49.119,0.127
160.203,1.046e4,-49.055,0.127
160.703,1.038e4,-48.992,0.128
161.203,1.03e4,-48.928,0.128
161.703,1.022e4,-48.864,0.128
162.203,1.014e4,-48.8,0.128
162.703,1.006e4,-48.736,0.128
163.203,9975.528,-48.672,0.127
163.703,9895.737,-48.609,0.127
164.203,9816.051,-48.545,0.126
164.703,9736.468,-48.482,0.126
165.203,9656.989,-48.419,0.125
165.703,9577.612,-48.357,0.124
166.203,9498.338,-48.295,0.124
166.703,9419.165,-48.233,0.123
167.203,9340.094,-48.171,0.122
167.703,9261.123,-48.11,0.122
168.203,9182.252,-48.049,0.121
168.703,9103.481,-47.989,0.12
169.203,9024.809,-47.928,0.119
169.703,8946.235,-47.869,0.119
170.203,8867.759,-47.809,0.118
170.703,8789.38,-47.75,0.119
171.203,8711.099,-47.691,0.12
171.703,8632.915,-47.631,0.12
172.203,8554.829,-47.571,0.12
172.703,8476.842,-47.511,0.12
173.203,8398.953,-47.451,0.119
173.703,8321.162,-47.392,0.119
174.203,8243.468,-47.332,0.119
174.703,8165.873,-47.273,0.118
175.203,8088.374,-47.214,0.118
175.703,8010.972,-47.155,0.117
176.203,7933.666,-47.096,0.116
176.703,7856.456,-47.038,0.116
177.203,7779.341,-46.98,0.115
177.703,7702.321,-46.923,0.115
178.203,7625.395,-46.865,0.114
178.703,7548.563,-46.808,0.113
179.203,7471.824,-46.752,0.113
179.703,7395.177,-46.696,0.112
180.203,7318.623,-46.64,0.111
180.703,7242.16,-46.584,0.111
181.203,7165.788,-46.529,0.111
181.703,7089.507,-46.473,0.112
182.203,7013.318,-46.417,0.112
182.703,6937.221,-46.361,0.112
183.203,6861.215,-46.305,0.112
183.703,6785.302,-46.249,0.112
184.203,6709.481,-46.193,0.112
184.703,6633.752,-46.137,0.111
185.203,6558.114,-46.081,0.111
185.703,6482.568,-46.025,0.11
186.203,6407.112,-45.97,0.11
186.703,6331.746,-45.915,0.109
187.203,6256.471,-45.861,0.109
187.703,6181.285,-45.806,0.108
188.203,6106.188,-45.752,0.108
188.703,6031.179,-45.698,0.107
189.203,5956.258,-45.645,0.106
189.703,5881.425,-45.592,0.106
190.203,5806.68,-45.539,0.106
190.703,5732.021,-45.486,0.105
191.203,5657.448,-45.433,0.104
191.703,5582.961,-45.381,0.104
192.203,5508.559,-45.329,0.105
192.703,5434.242,-45.277,0.105
193.203,5360.012,-45.225,0.105
193.703,5285.868,-45.172,0.105
194.203,5211.81,-45.119,0.105
194.703,5137.838,-45.067,0.105
195.203,5063.953,-45.014,0.105
195.703,4990.154,-44.962,0.104
196.203,4916.441,-44.909,0.104
196.703,4842.813,-44.858,0.103
197.203,4769.27,-44.806,0.103
197.703,4695.812,-44.754,0.103
198.203,4622.439,-44.703,0.102
198.703,4549.149,-44.652,0.102
199.203,4475.943,-44.601,0.101
199.703,4402.819,-44.551,0.1
200.203,4329.779,-44.5,0.1
200.703,4256.82,-44.45,0.099
201.203,4183.944,-44.401,0.099
201.703,4111.148,-44.351,0.098
202.203,4038.434,-44.302,0.098
202.703,3965.799,-44.253,0.097
203.203,3893.245,-44.205,0.098
203.703,3820.771,-44.156,0.098
204.203,3748.378,-44.106,0.099
204.703,3676.065,-44.057,0.099
205.203,3603.834,-44.008,0.099
205.703,3531.684,-43.958,0.099
206.203,3459.614,-43.909,0.099
206.703,3387.626,-43.859,0.098
207.203,3315.718,-43.81,0.098
207.703,3243.891,-43.761,0.097
208.203,3172.144,-43.713,0.097
208.703,3100.476,-43.664,0.097
209.203,3028.888,-43.616,0.096
209.703,2957.379,-43.568,0.096
210.203,2885.949,-43.52,0.095
210.703,2814.597,-43.472,0.095
211.203,2743.323,-43.425,0.094
211.703,2672.126,-43.378,0.094
212.203,2601.007,-43.331,0.093
212.703,2529.964,-43.285,0.093
213.203,2458.997,-43.238,0.092
213.703,2388.105,-43.192,0.092
214.203,2317.29,-43.146,0.092
214.703,2246.549,-43.1,0.092
215.203,2175.884,-43.054,0.093
215.703,2105.295,-43.008,0.093
216.203,2034.781,-42.962,0.093
216.703,1964.344,-42.915,0.093
217.203,1893.983,-42.869,0.093
217.703,1823.698,-42.822,0.092
218.203,1753.49,-42.776,0.092
218.703,1683.357,-42.73,0.092
219.203,1613.299,-42.684,0.091
219.703,1543.317,-42.638,0.091
220.203,1473.41,-42.593,0.091
220.703,1403.578,-42.547,0.09
221.203,1333.82,-42.502,0.09
221.703,1264.136,-42.457,0.089
222.203,1194.526,-42.412,0.089
222.703,1124.988,-42.368,0.088
223.203,1055.524,-42.323,0.088
223.703,986.132,-42.279,0.088
224.203,916.812,-42.236,0.087
224.703,847.564,-42.192,0.087
225.203,778.387,-42.149,0.086
225.703,709.281,-42.105,0.086
226.203,640.246,-42.062,0.087
226.204,640.108,-42.062,332.767
226.207,639.698,-41.062,316.678
226.21,639.278,-40.062,300.976
226.214,638.846,-39.063,285.66
226.217,638.404,-38.063,270.732
226.221,637.948,-37.063,256.191
226.225,637.48,-36.063,242.036
226.229,636.998,-35.063,228.269
226.233,636.501,-34.063,214.888
226.238,635.989,-33.063,201.895
226.243,635.46,-32.063,189.288
226.248,634.913,-31.063,177.068
226.254,634.347,-30.063,165.235
226.26,633.76,-29.063,153.787
226.266,633.15,-28.063,142.727
226.273,632.517,-27.063,132.054
226.281,631.857,-26.063,121.767
226.289,631.168,-25.063,111.868
226.298,630.448,-24.063,102.356
226.308,629.693,-23.063,93.231
226.318,628.899,-22.063,84.493
226.33,628.061,-21.064,76.143
226.343,627.175,-20.064,68.179
226.358,626.234,-19.064,60.603
226.375,625.229,-18.064,53.413
226.393,624.15,-17.064,46.611
226.415,622.984,-16.064,40.196
226.44,621.714,-15.064,34.168
226.469,620.315,-14.064,28.527
226.504,618.756,-13.064,23.274
226.547,616.984,-12.064,18.408
226.601,614.924,-11.064,13.928
226.673,612.436,-10.064,9.836
226.775,609.246,-9.064,6.132
226.938,604.665,-8.064,2.825
227.258,596.675,-7.16,0.156
227.618,588.247,-7.104,0.003
227.981,579.788,-7.103,-0.002
228.344,571.331,-7.104,0.004
228.706,562.876,-7.102,9.182e-4
229.069,554.424,-7.102,0.003
229.432,545.974,-7.101,0.002
229.795,537.526,-7.1,0.002
230.157,529.08,-7.099,0.006
230.52,520.637,-7.097,0.002
230.882,512.196,-7.097,0.006
231.245,503.757,-7.095,0.008
231.607,495.322,-7.092,-0.007
231.97,486.885,-7.094,0.001
232.332,478.452,-7.094,0.004
232.694,470.022,-7.093,0.01
233.056,461.595,-7.089,-0.007
233.419,453.167,-7.091,0.003
233.781,444.743,-7.09,0.002
234.143,436.322,-7.089,0.006
234.505,427.903,-7.087,-5.64e-4
234.867,419.485,-7.087,0.002
235.229,411.069,-7.087,0.005
235.591,402.657,-7.085,4.413e-4
235.953,394.245,-7.085,0.002
236.314,385.836,-7.084,0.004
236.676,377.43,-7.083,0.003
237.038,369.026,-7.081,4.938e-4
237.4,360.623,-7.081,0.006
237.761,352.224,-7.079,7.831e-4
238.123,343.825,-7.079,9.395e-4
238.484,335.429,-7.078,0.006
238.846,327.036,-7.076,-0.001
239.207,318.644,-7.077,0.004
239.569,310.254,-7.075,0.003
239.93,301.867,-7.074,1.375e-4
240.43,290.263,-7.074,0.008
240.791,281.882,-7.071,-0.002
241.152,273.501,-7.072,0.002
241.514,265.123,-7.071,0.014
241.875,256.749,-7.066,-0.008
242.236,248.373,-7.069,0.002
242.597,240.002,-7.068,0.002
242.958,231.632,-7.067,0.012
243.319,223.267,-7.063,-0.007
243.68,214.899,-7.066,0.003
244.041,206.536,-7.065,0.008
244.401,198.176,-7.062,8.024e-4
244.762,189.817,-7.062,-7.622e-5
245.262,178.233,-7.062,0.003
245.623,169.879,-7.061,0.004
245.983,161.528,-7.059,7.692e-4
246.344,153.177,-7.059,0.003
246.704,144.83,-7.058,0.002
247.065,136.484,-7.057,0.015
247.425,128.144,-7.052,-0.01
247.786,119.8,-7.055,0.002
248.146,111.46,-7.055,0.003
248.506,103.123,-7.053,0.002
248.866,94.788,-7.053,0.003
249.226,86.455,-7.052,0.002
249.587,78.124,-7.051,0.025
249.947,69.8,-7.042,-0.018
250.307,61.469,-7.049,0.002
250.667,53.145,-7.048,0.001
251.027,44.822,-7.047,0.002
251.387,36.501,-7.047,0.013
251.747,28.185,-7.042,-0.004
252.107,19.868,-7.044,0.011
252.467,11.555,-7.04,-0.01
252.826,3.24,-7.043,0.01
252.967,0,-7.042,-2.569e-5
