# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Gravitational acceleration (m/s²),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Mach number (​)
15.007,2.1e4,296.612,-17.865,2.328e4,9.776,188.628,0.378,-30.7,408.881,5.875e-4,0.949
15.057,2.105e4,295.72,-17.816,2.328e4,9.776,187.352,0.378,-30.796,408.049,5.865e-4,0.946
15.107,2.109e4,294.831,-17.773,2.328e4,9.776,186.088,0.379,-30.892,407.219,5.856e-4,0.944
15.157,2.114e4,293.943,-17.727,2.328e4,9.776,184.842,0.379,-30.988,406.392,5.846e-4,0.941
15.207,2.119e4,293.058,-17.671,2.328e4,9.776,183.598,0.379,-31.083,405.568,5.837e-4,0.938
15.257,2.124e4,292.176,-17.611,2.328e4,9.776,182.358,0.38,-31.178,404.746,5.827e-4,0.936
15.307,2.129e4,291.297,-17.552,2.328e4,9.776,181.13,0.38,-31.273,403.926,5.818e-4,0.933
15.357,2.133e4,290.421,-17.494,2.328e4,9.776,179.915,0.381,-31.367,403.109,5.808e-4,0.93
15.407,2.138e4,289.547,-17.442,2.328e4,9.776,178.702,0.381,-31.462,402.294,5.799e-4,0.928
15.457,2.143e4,288.677,-17.39,2.328e4,9.776,177.505,0.381,-31.556,401.482,5.789e-4,0.925
15.507,2.148e4,287.808,-17.344,2.328e4,9.776,176.305,0.382,-31.649,400.672,5.78e-4,0.922
15.557,2.152e4,286.942,-17.299,2.328e4,9.776,175.12,0.382,-31.743,399.865,5.77e-4,0.92
15.607,2.157e4,286.078,-17.252,2.328e4,9.776,173.946,0.382,-31.836,399.06,5.761e-4,0.917
15.657,2.162e4,285.217,-17.204,2.328e4,9.775,172.777,0.383,-31.929,398.258,5.752e-4,0.915
15.707,2.166e4,284.358,-17.153,2.328e4,9.775,171.611,0.383,-32.021,397.457,5.742e-4,0.912
15.757,2.171e4,283.502,-17.098,2.328e4,9.775,170.451,0.383,-32.114,396.66,5.733e-4,0.909
15.807,2.176e4,282.648,-17.045,2.328e4,9.775,169.298,0.384,-32.206,395.865,5.724e-4,0.907
15.857,2.18e4,281.797,-16.989,2.328e4,9.775,168.166,0.384,-32.297,395.072,5.714e-4,0.904
15.907,2.185e4,280.949,-16.94,2.328e4,9.775,167.032,0.384,-32.389,394.281,5.705e-4,0.902
15.957,2.19e4,280.103,-16.885,2.328e4,9.775,165.73,0.384,-32.48,393.493,5.696e-4,0.899
16.007,2.194e4,279.261,-16.822,2.328e4,9.775,164.142,0.383,-32.571,392.707,5.687e-4,0.897
16.057,2.199e4,278.421,-16.761,2.328e4,9.775,162.584,0.383,-32.661,391.924,5.677e-4,0.894
16.107,2.203e4,277.585,-16.7,2.328e4,9.775,161.055,0.382,-32.752,391.143,5.668e-4,0.892
16.157,2.208e4,276.751,-16.636,2.328e4,9.775,159.549,0.381,-32.842,390.364,5.659e-4,0.889
16.207,2.212e4,275.921,-16.568,2.328e4,9.775,158.065,0.381,-32.932,389.588,5.65e-4,0.887
16.257,2.217e4,275.094,-16.5,2.328e4,9.775,156.604,0.38,-33.021,388.814,5.641e-4,0.884
16.307,2.221e4,274.271,-16.433,2.328e4,9.775,155.171,0.379,-33.11,388.042,5.632e-4,0.882
16.357,2.226e4,273.451,-16.371,2.328e4,9.775,153.755,0.379,-33.199,387.273,5.623e-4,0.879
16.407,2.23e4,272.634,-16.311,2.328e4,9.775,152.359,0.378,-33.288,386.506,5.613e-4,0.877
16.457,2.235e4,271.82,-16.255,2.328e4,9.775,150.982,0.378,-33.377,385.741,5.604e-4,0.874
16.507,2.239e4,271.008,-16.202,2.328e4,9.775,149.623,0.377,-33.465,384.979,5.595e-4,0.872
16.557,2.244e4,270.2,-16.149,2.328e4,9.775,148.286,0.377,-33.553,384.219,5.586e-4,0.869
16.607,2.248e4,269.394,-16.09,2.328e4,9.775,146.972,0.376,-33.641,383.461,5.577e-4,0.867
16.657,2.253e4,268.591,-16.033,2.328e4,9.775,145.671,0.376,-33.728,382.705,5.568e-4,0.864
16.707,2.257e4,267.79,-15.976,2.328e4,9.775,144.399,0.375,-33.815,381.983,5.56e-4,0.862
16.757,2.261e4,266.993,-15.921,2.328e4,9.775,143.144,0.375,-33.902,381.274,5.552e-4,0.859
16.807,2.266e4,266.198,-15.867,2.328e4,9.774,141.905,0.374,-33.989,380.567,5.543e-4,0.857
16.857,2.27e4,265.406,-15.813,2.328e4,9.774,140.685,0.374,-34.075,379.862,5.535e-4,0.855
16.907,2.274e4,264.617,-15.76,2.328e4,9.774,139.48,0.373,-34.161,379.16,5.527e-4,0.852
16.957,2.279e4,263.83,-15.711,2.328e4,9.774,138.285,0.373,-34.247,378.459,5.519e-4,0.85
17.007,2.283e4,263.046,-15.663,2.328e4,9.774,137.104,0.373,-34.333,377.761,5.51e-4,0.847
17.057,2.287e4,262.264,-15.614,2.328e4,9.774,135.94,0.372,-34.418,377.064,5.502e-4,0.845
17.107,2.292e4,261.484,-15.567,2.328e4,9.774,134.787,0.372,-34.503,376.37,5.494e-4,0.843
17.157,2.296e4,260.707,-15.517,2.328e4,9.774,133.647,0.371,-34.588,375.677,5.486e-4,0.84
17.207,2.3e4,259.933,-15.467,2.328e4,9.774,132.521,0.371,-34.673,374.987,5.478e-4,0.838
17.257,2.304e4,259.161,-15.418,2.328e4,9.774,131.405,0.371,-34.757,374.299,5.47e-4,0.836
17.307,2.309e4,258.391,-15.366,2.328e4,9.774,130.309,0.37,-34.841,373.613,5.462e-4,0.833
17.357,2.313e4,257.624,-15.317,2.328e4,9.774,129.225,0.37,-34.925,372.929,5.454e-4,0.831
17.407,2.317e4,256.859,-15.273,2.328e4,9.774,128.143,0.37,-35.008,372.246,5.445e-4,0.829
17.457,2.321e4,256.097,-15.228,2.328e4,9.774,127.078,0.369,-35.092,371.566,5.437e-4,0.826
17.507,2.326e4,255.336,-15.187,2.328e4,9.774,126.021,0.369,-35.175,370.888,5.429e-4,0.824
17.557,2.33e4,254.578,-15.145,2.328e4,9.774,124.979,0.369,-35.258,370.212,5.421e-4,0.822
17.607,2.334e4,253.822,-15.1,2.328e4,9.774,123.949,0.368,-35.34,369.538,5.413e-4,0.819
17.657,2.338e4,253.068,-15.055,2.328e4,9.774,122.929,0.368,-35.423,368.866,5.405e-4,0.817
17.707,2.342e4,252.316,-15.011,2.328e4,9.774,121.917,0.368,-35.505,368.196,5.397e-4,0.815
17.757,2.346e4,251.567,-14.965,2.328e4,9.774,120.919,0.367,-35.587,367.528,5.39e-4,0.813
17.807,2.35e4,250.82,-14.921,2.328e4,9.774,119.93,0.367,-35.668,366.862,5.382e-4,0.81
17.857,2.355e4,250.075,-14.879,2.328e4,9.774,118.947,0.367,-35.75,366.198,5.374e-4,0.808
17.907,2.359e4,249.332,-14.839,2.328e4,9.774,117.973,0.366,-35.831,365.536,5.366e-4,0.806
17.957,2.363e4,248.591,-14.798,2.328e4,9.774,117.012,0.366,-35.912,364.876,5.358e-4,0.803
18.007,2.367e4,247.852,-14.759,2.328e4,9.774,116.057,0.366,-35.993,364.217,5.35e-4,0.801
18.057,2.371e4,247.115,-14.718,2.328e4,9.774,115.115,0.366,-36.073,363.561,5.342e-4,0.799
18.107,2.375e4,246.38,-14.678,2.328e4,9.773,114.18,0.365,-36.153,362.907,5.334e-4,0.797
18.157,2.379e4,245.647,-14.638,2.328e4,9.773,113.255,0.365,-36.233,362.255,5.327e-4,0.794
18.207,2.383e4,244.916,-14.597,2.328e4,9.773,112.339,0.365,-36.313,361.604,5.319e-4,0.792
18.257,2.387e4,244.187,-14.556,2.328e4,9.773,111.435,0.365,-36.392,360.956,5.311e-4,0.79
18.307,2.391e4,243.461,-14.519,2.328e4,9.773,110.532,0.364,-36.472,360.309,5.303e-4,0.788
18.357,2.395e4,242.736,-14.481,2.328e4,9.773,109.64,0.364,-36.551,359.665,5.296e-4,0.785
18.407,2.399e4,242.013,-14.442,2.328e4,9.773,108.761,0.364,-36.629,359.022,5.288e-4,0.783
18.457,2.403e4,241.291,-14.405,2.328e4,9.773,107.886,0.364,-36.708,358.381,5.28e-4,0.781
18.507,2.407e4,240.572,-14.369,2.328e4,9.773,107.02,0.363,-36.786,357.742,5.273e-4,0.779
18.557,2.411e4,239.854,-14.334,2.328e4,9.773,106.16,0.363,-36.864,357.105,5.265e-4,0.777
18.607,2.415e4,239.139,-14.298,2.328e4,9.773,105.308,0.363,-36.942,356.47,5.257e-4,0.774
18.657,2.419e4,238.425,-14.261,2.328e4,9.773,104.468,0.363,-37.02,355.846,5.25e-4,0.772
18.707,2.423e4,237.713,-14.225,2.328e4,9.773,103.642,0.362,-37.097,355.251,5.243e-4,0.77
18.757,2.426e4,237.002,-14.192,2.328e4,9.773,102.818,0.362,-37.174,354.657,5.236e-4,0.768
18.807,2.43e4,236.293,-14.154,2.328e4,9.773,102.007,0.362,-37.251,354.066,5.229e-4,0.766
18.857,2.434e4,235.587,-14.116,2.328e4,9.773,101.207,0.362,-37.328,353.476,5.222e-4,0.764
18.907,2.438e4,234.882,-14.079,2.328e4,9.773,100.415,0.362,-37.404,352.887,5.215e-4,0.761
18.957,2.442e4,234.179,-14.046,2.328e4,9.773,99.621,0.361,-37.48,352.301,5.208e-4,0.759
19.007,2.446e4,233.477,-14.013,2.328e4,9.773,98.838,0.361,-37.556,351.716,5.201e-4,0.757
19.057,2.45e4,232.777,-13.981,2.328e4,9.773,98.061,0.361,-37.632,351.133,5.194e-4,0.755
19.107,2.453e4,232.079,-13.95,2.328e4,9.773,97.292,0.361,-37.708,350.552,5.187e-4,0.753
19.157,2.457e4,231.382,-13.919,2.328e4,9.773,96.53,0.361,-37.783,349.972,5.18e-4,0.751
19.207,2.461e4,230.687,-13.889,2.328e4,9.773,95.773,0.36,-37.858,349.395,5.173e-4,0.748
19.257,2.465e4,229.993,-13.86,2.328e4,9.773,95.021,0.36,-37.933,348.819,5.166e-4,0.746
19.307,2.469e4,229.301,-13.829,2.328e4,9.773,94.275,0.36,-38.008,348.244,5.159e-4,0.744
19.357,2.472e4,228.611,-13.795,2.328e4,9.773,93.533,0.36,-38.082,347.672,5.152e-4,0.742
19.407,2.476e4,227.922,-13.762,2.328e4,9.773,92.795,0.36,-38.156,347.101,5.146e-4,0.74
19.457,2.48e4,227.234,-13.727,2.328e4,9.772,92.065,0.359,-38.23,346.532,5.139e-4,0.738
19.507,2.483e4,226.549,-13.692,2.328e4,9.772,91.345,0.359,-38.304,345.964,5.132e-4,0.736
19.557,2.487e4,225.865,-13.657,2.328e4,9.772,90.638,0.359,-38.377,345.399,5.125e-4,0.734
19.607,2.491e4,225.183,-13.625,2.328e4,9.772,89.929,0.359,-38.451,344.835,5.118e-4,0.731
19.657,2.495e4,224.503,-13.596,2.328e4,9.772,89.223,0.359,-38.524,344.272,5.112e-4,0.729
19.707,2.498e4,223.824,-13.568,2.328e4,9.772,88.523,0.359,-38.597,343.712,5.105e-4,0.727
19.757,2.502e4,223.146,-13.542,2.328e4,9.772,87.826,0.358,-38.669,343.153,5.098e-4,0.725
19.807,2.506e4,222.469,-13.518,2.328e4,9.772,87.137,0.358,-38.742,342.596,5.092e-4,0.723
19.857,2.509e4,221.794,-13.493,2.328e4,9.772,86.458,0.358,-38.814,342.04,5.085e-4,0.721
19.907,2.513e4,221.12,-13.466,2.328e4,9.772,85.784,0.358,-38.886,341.486,5.078e-4,0.719
19.957,2.516e4,220.448,-13.436,2.328e4,9.772,85.113,0.358,-38.958,340.934,5.071e-4,0.717
20.007,2.52e4,219.777,-13.402,2.328e4,9.772,84.446,0.358,-39.029,340.384,5.065e-4,0.715
20.057,2.524e4,219.107,-13.368,2.328e4,9.772,83.789,0.357,-39.101,339.835,5.058e-4,0.713
20.107,2.527e4,218.44,-13.338,2.328e4,9.772,83.134,0.357,-39.172,339.288,5.052e-4,0.711
20.157,2.531e4,217.774,-13.309,2.328e4,9.772,82.486,0.357,-39.243,338.742,5.045e-4,0.709
20.207,2.534e4,217.109,-13.281,2.328e4,9.772,81.841,0.357,-39.313,338.199,5.038e-4,0.706
20.257,2.538e4,216.445,-13.254,2.328e4,9.772,81.202,0.357,-39.384,337.657,5.032e-4,0.704
20.307,2.542e4,215.783,-13.228,2.328e4,9.772,80.565,0.357,-39.454,337.116,5.025e-4,0.702
20.357,2.545e4,215.123,-13.203,2.328e4,9.772,79.935,0.356,-39.524,336.577,5.019e-4,0.7
20.407,2.549e4,214.463,-13.179,2.328e4,9.772,79.308,0.356,-39.594,336.04,5.012e-4,0.698
20.457,2.552e4,213.805,-13.154,2.328e4,9.772,78.69,0.356,-39.663,335.505,5.006e-4,0.696
20.507,2.556e4,213.148,-13.129,2.328e4,9.772,78.076,0.356,-39.733,334.971,4.999e-4,0.694
20.557,2.559e4,212.492,-13.104,2.328e4,9.772,77.465,0.356,-39.802,334.439,4.993e-4,0.692
20.607,2.563e4,211.837,-13.078,2.328e4,9.772,76.859,0.356,-39.871,333.908,4.986e-4,0.69
20.657,2.566e4,211.184,-13.048,2.328e4,9.772,76.259,0.356,-39.94,333.379,4.98e-4,0.688
20.707,2.57e4,210.532,-13.021,2.328e4,9.772,75.662,0.355,-40.008,332.852,4.974e-4,0.686
20.757,2.573e4,209.882,-12.993,2.328e4,9.772,75.073,0.355,-40.076,332.326,4.967e-4,0.684
20.807,2.576e4,209.233,-12.966,2.328e4,9.772,74.485,0.355,-40.145,331.802,4.961e-4,0.682
20.857,2.58e4,208.585,-12.941,2.328e4,9.772,73.904,0.355,-40.212,331.28,4.954e-4,0.68
20.907,2.583e4,207.939,-12.917,2.328e4,9.772,73.325,0.355,-40.28,330.772,4.948e-4,0.678
20.957,2.587e4,207.294,-12.893,2.328e4,9.771,72.756,0.355,-40.348,330.283,4.942e-4,0.676
21.007,2.59e4,206.65,-12.871,2.328e4,9.771,72.192,0.355,-40.415,329.795,4.937e-4,0.674
21.057,2.593e4,206.007,-12.848,2.328e4,9.771,71.632,0.355,-40.482,329.309,4.931e-4,0.672
21.107,2.597e4,205.365,-12.827,2.328e4,9.771,71.075,0.354,-40.549,328.824,4.925e-4,0.67
21.157,2.6e4,204.724,-12.804,2.328e4,9.771,70.524,0.354,-40.615,328.341,4.919e-4,0.668
21.207,2.604e4,204.085,-12.78,2.328e4,9.771,69.977,0.354,-40.682,327.859,4.913e-4,0.666
21.257,2.607e4,203.446,-12.757,2.328e4,9.771,69.432,0.354,-40.748,327.379,4.907e-4,0.664
21.307,2.61e4,202.809,-12.732,2.328e4,9.771,68.892,0.354,-40.814,326.9,4.902e-4,0.662
21.357,2.614e4,202.173,-12.708,2.328e4,9.771,68.355,0.354,-40.88,326.423,4.896e-4,0.66
21.407,2.617e4,201.538,-12.684,2.328e4,9.771,67.822,0.354,-40.945,325.948,4.89e-4,0.658
21.457,2.62e4,200.905,-12.659,2.328e4,9.771,67.297,0.354,-41.011,325.473,4.884e-4,0.656
21.507,2.623e4,200.272,-12.633,2.328e4,9.771,66.782,0.353,-41.076,325.001,4.879e-4,0.654
21.557,2.627e4,199.641,-12.609,2.328e4,9.771,66.269,0.353,-41.141,324.529,4.873e-4,0.652
21.607,2.63e4,199.011,-12.587,2.328e4,9.771,65.753,0.353,-41.206,324.06,4.867e-4,0.65
21.657,2.633e4,198.382,-12.566,2.328e4,9.771,65.24,0.353,-41.27,323.591,4.862e-4,0.648
21.707,2.636e4,197.755,-12.547,2.328e4,9.771,64.728,0.353,-41.335,323.125,4.856e-4,0.646
21.757,2.64e4,197.128,-12.53,2.328e4,9.771,64.22,0.353,-41.399,322.659,4.85e-4,0.644
21.807,2.643e4,196.502,-12.512,2.328e4,9.771,63.721,0.353,-41.463,322.196,4.845e-4,0.642
21.857,2.646e4,195.877,-12.492,2.328e4,9.771,63.228,0.353,-41.527,321.733,4.839e-4,0.64
21.907,2.649e4,195.252,-12.473,2.328e4,9.771,62.736,0.353,-41.59,321.272,4.833e-4,0.638
21.957,2.653e4,194.629,-12.453,2.328e4,9.771,62.246,0.352,-41.654,320.813,4.828e-4,0.636
22.007,2.656e4,194.007,-12.431,2.328e4,9.771,61.758,0.352,-41.717,320.355,4.822e-4,0.634
22.057,2.659e4,193.386,-12.408,2.328e4,9.771,61.272,0.352,-41.78,319.899,4.817e-4,0.632
22.107,2.662e4,192.766,-12.384,2.328e4,9.771,60.789,0.352,-41.842,319.444,4.811e-4,0.63
22.157,2.665e4,192.148,-12.36,2.328e4,9.771,60.312,0.352,-41.905,318.99,4.806e-4,0.628
22.207,2.668e4,191.53,-12.337,2.328e4,9.771,59.839,0.352,-41.967,318.538,4.8e-4,0.627
22.257,2.672e4,190.914,-12.316,2.328e4,9.771,59.367,0.352,-42.029,318.087,4.795e-4,0.625
22.307,2.675e4,190.299,-12.294,2.328e4,9.771,58.906,0.352,-42.091,317.638,4.789e-4,0.623
22.357,2.678e4,189.685,-12.273,2.328e4,9.771,58.445,0.352,-42.153,317.19,4.784e-4,0.621
22.407,2.681e4,189.071,-12.254,2.328e4,9.771,57.982,0.352,-42.215,316.744,4.778e-4,0.619
22.457,2.684e4,188.459,-12.235,2.328e4,9.771,57.526,0.351,-42.276,316.299,4.773e-4,0.617
22.507,2.687e4,187.848,-12.218,2.328e4,9.771,57.067,0.351,-42.337,315.856,4.767e-4,0.615
22.557,2.69e4,187.237,-12.202,2.328e4,9.771,56.613,0.351,-42.398,315.414,4.762e-4,0.613
22.607,2.693e4,186.628,-12.185,2.328e4,9.771,56.166,0.351,-42.459,314.973,4.756e-4,0.611
22.657,2.696e4,186.019,-12.167,2.328e4,9.77,55.725,0.351,-42.519,314.534,4.751e-4,0.609
22.707,2.699e4,185.411,-12.148,2.328e4,9.77,55.286,0.351,-42.58,314.097,4.746e-4,0.607
22.757,2.702e4,184.804,-12.131,2.328e4,9.77,54.848,0.351,-42.64,313.661,4.74e-4,0.605
22.807,2.705e4,184.198,-12.112,2.328e4,9.77,54.413,0.351,-42.7,313.226,4.735e-4,0.603
22.857,2.708e4,183.593,-12.093,2.328e4,9.77,53.981,0.351,-42.76,312.792,4.73e-4,0.602
22.907,2.711e4,182.989,-12.072,2.328e4,9.77,53.552,0.351,-42.819,312.36,4.724e-4,0.6
22.957,2.714e4,182.386,-12.052,2.328e4,9.77,53.126,0.35,-42.879,311.93,4.719e-4,0.598
23.007,2.717e4,181.783,-12.031,2.328e4,9.77,52.707,0.35,-42.938,311.501,4.714e-4,0.596
23.057,2.72e4,181.182,-12.01,2.328e4,9.77,52.293,0.35,-42.997,311.073,4.709e-4,0.594
23.107,2.723e4,180.582,-11.993,2.328e4,9.77,51.874,0.35,-43.056,310.647,4.703e-4,0.592
23.157,2.726e4,179.983,-11.975,2.328e4,9.77,51.462,0.35,-43.114,310.222,4.698e-4,0.59
23.207,2.729e4,179.385,-11.958,2.328e4,9.77,51.049,0.35,-43.173,309.799,4.693e-4,0.588
23.257,2.732e4,178.787,-11.941,2.328e4,9.77,50.641,0.35,-43.231,309.377,4.688e-4,0.586
23.307,2.735e4,178.191,-11.925,2.328e4,9.77,50.234,0.35,-43.289,308.956,4.682e-4,0.584
23.357,2.738e4,177.595,-11.909,2.328e4,9.77,49.833,0.35,-43.347,308.537,4.677e-4,0.583
23.407,2.741e4,177,-11.894,2.328e4,9.77,49.432,0.35,-43.404,308.119,4.672e-4,0.581
23.457,2.744e4,176.405,-11.88,2.328e4,9.77,49.035,0.35,-43.462,307.702,4.667e-4,0.579
23.507,2.747e4,175.812,-11.863,2.328e4,9.77,48.644,0.35,-43.519,307.295,4.662e-4,0.577
23.557,2.75e4,175.219,-11.846,2.328e4,9.77,48.258,0.349,-43.576,306.906,4.657e-4,0.575
23.607,2.752e4,174.627,-11.829,2.328e4,9.77,47.873,0.349,-43.633,306.518,4.652e-4,0.573
23.657,2.755e4,174.036,-11.812,2.328e4,9.77,47.491,0.349,-43.689,306.131,4.648e-4,0.571
23.707,2.758e4,173.446,-11.795,2.328e4,9.77,47.111,0.349,-43.746,305.746,4.643e-4,0.569
23.757,2.761e4,172.857,-11.778,2.328e4,9.77,46.733,0.349,-43.802,305.361,4.638e-4,0.568
23.807,2.764e4,172.268,-11.762,2.328e4,9.77,46.356,0.349,-43.858,304.979,4.634e-4,0.566
23.857,2.767e4,171.681,-11.746,2.328e4,9.77,45.982,0.349,-43.914,304.597,4.629e-4,0.564
23.907,2.769e4,171.094,-11.727,2.328e4,9.77,45.614,0.349,-43.97,304.217,4.624e-4,0.562
23.957,2.772e4,170.508,-11.71,2.328e4,9.77,45.249,0.349,-44.025,303.838,4.62e-4,0.56
24.007,2.775e4,169.923,-11.693,2.328e4,9.77,44.887,0.349,-44.081,303.46,4.615e-4,0.558
24.057,2.778e4,169.338,-11.678,2.328e4,9.77,44.52,0.349,-44.136,303.084,4.61e-4,0.556
24.107,2.781e4,168.755,-11.662,2.328e4,9.77,44.161,0.349,-44.191,302.709,4.606e-4,0.555
24.157,2.783e4,168.172,-11.648,2.328e4,9.77,43.802,0.348,-44.246,302.335,4.601e-4,0.553
24.207,2.786e4,167.59,-11.632,2.328e4,9.77,43.449,0.348,-44.3,301.962,4.597e-4,0.551
24.257,2.789e4,167.009,-11.619,2.328e4,9.77,43.094,0.348,-44.354,301.591,4.592e-4,0.549
24.307,2.792e4,166.428,-11.605,2.328e4,9.77,42.742,0.348,-44.409,301.221,4.588e-4,0.547
24.357,2.794e4,165.848,-11.591,2.328e4,9.77,42.395,0.348,-44.463,300.852,4.583e-4,0.545
24.407,2.797e4,165.269,-11.576,2.328e4,9.77,42.05,0.348,-44.516,300.485,4.578e-4,0.543
24.457,2.8e4,164.691,-11.563,2.328e4,9.77,41.705,0.348,-44.57,300.119,4.574e-4,0.542
24.507,2.802e4,164.113,-11.548,2.328e4,9.769,41.366,0.348,-44.623,299.754,4.569e-4,0.54
24.557,2.805e4,163.536,-11.534,2.328e4,9.769,41.026,0.348,-44.677,299.391,4.565e-4,0.538
24.607,2.808e4,162.96,-11.519,2.328e4,9.769,40.69,0.348,-44.73,299.029,4.561e-4,0.536
24.657,2.81e4,162.384,-11.505,2.328e4,9.769,40.355,0.348,-44.783,298.668,4.556e-4,0.534
24.707,2.813e4,161.809,-11.49,2.328e4,9.769,40.022,0.348,-44.835,298.308,4.552e-4,0.532
24.757,2.816e4,161.235,-11.474,2.328e4,9.769,39.694,0.348,-44.888,297.95,4.547e-4,0.531
24.807,2.818e4,160.662,-11.459,2.328e4,9.769,39.366,0.348,-44.94,297.592,4.543e-4,0.529
24.857,2.821e4,160.089,-11.444,2.328e4,9.769,39.042,0.347,-44.992,297.237,4.538e-4,0.527
24.907,2.824e4,159.517,-11.429,2.328e4,9.769,38.72,0.347,-45.044,296.882,4.534e-4,0.525
24.957,2.826e4,158.946,-11.415,2.328e4,9.769,38.399,0.347,-45.096,296.529,4.53e-4,0.523
25.007,2.829e4,158.376,-11.401,2.328e4,9.769,38.081,0.347,-45.148,296.177,4.525e-4,0.522
25.057,2.832e4,157.806,-11.388,2.328e4,9.769,37.762,0.347,-45.199,295.826,4.521e-4,0.52
25.107,2.834e4,157.237,-11.375,2.328e4,9.769,37.447,0.347,-45.25,295.476,4.517e-4,0.518
25.157,2.837e4,156.669,-11.362,2.328e4,9.769,37.135,0.347,-45.301,295.128,4.512e-4,0.516
25.207,2.839e4,156.101,-11.35,2.328e4,9.769,36.822,0.347,-45.352,294.781,4.508e-4,0.514
25.257,2.842e4,155.534,-11.339,2.328e4,9.769,36.512,0.347,-45.403,294.435,4.504e-4,0.512
25.307,2.844e4,154.967,-11.328,2.328e4,9.769,36.205,0.347,-45.453,294.091,4.499e-4,0.511
25.357,2.847e4,154.401,-11.315,2.328e4,9.769,35.9,0.347,-45.503,293.748,4.495e-4,0.509
25.407,2.849e4,153.836,-11.3,2.328e4,9.769,35.599,0.347,-45.553,293.406,4.491e-4,0.507
25.457,2.852e4,153.271,-11.286,2.328e4,9.769,35.299,0.347,-45.603,293.065,4.487e-4,0.505
25.507,2.854e4,152.707,-11.273,2.328e4,9.769,35,0.347,-45.653,292.726,4.483e-4,0.503
25.557,2.857e4,152.144,-11.26,2.328e4,9.769,34.703,0.347,-45.703,292.387,4.478e-4,0.502
25.607,2.859e4,151.581,-11.248,2.328e4,9.769,34.406,0.346,-45.752,292.05,4.474e-4,0.5
25.657,2.862e4,151.019,-11.235,2.328e4,9.769,34.113,0.346,-45.801,291.715,4.47e-4,0.498
25.707,2.864e4,150.457,-11.222,2.328e4,9.769,33.821,0.346,-45.85,291.38,4.466e-4,0.496
25.757,2.867e4,149.897,-11.209,2.328e4,9.769,33.533,0.346,-45.899,291.047,4.462e-4,0.494
25.807,2.869e4,149.337,-11.195,2.328e4,9.769,33.246,0.346,-45.947,290.715,4.458e-4,0.492
25.857,2.872e4,148.777,-11.183,2.328e4,9.769,32.96,0.346,-45.996,290.384,4.453e-4,0.491
25.907,2.874e4,148.218,-11.17,2.328e4,9.769,32.678,0.346,-46.044,290.055,4.449e-4,0.489
25.957,2.877e4,147.66,-11.156,2.328e4,9.769,32.401,0.346,-46.092,289.727,4.445e-4,0.487
26.007,2.879e4,147.103,-11.145,2.328e4,9.769,32.12,0.346,-46.14,289.399,4.441e-4,0.485
26.057,2.881e4,146.546,-11.133,2.328e4,9.769,31.842,0.346,-46.188,289.074,4.437e-4,0.484
26.107,2.884e4,145.989,-11.12,2.328e4,9.769,31.57,0.346,-46.235,288.749,4.433e-4,0.482
26.157,2.886e4,145.434,-11.109,2.328e4,9.769,31.297,0.346,-46.283,288.426,4.429e-4,0.48
26.207,2.889e4,144.878,-11.098,2.328e4,9.769,31.024,0.346,-46.33,288.104,4.425e-4,0.478
26.257,2.891e4,144.324,-11.085,2.328e4,9.769,30.76,0.346,-46.377,287.783,4.421e-4,0.476
26.307,2.893e4,143.77,-11.074,2.328e4,9.769,30.491,0.346,-46.424,287.463,4.417e-4,0.475
26.357,2.896e4,143.216,-11.064,2.328e4,9.769,30.224,0.346,-46.47,287.145,4.413e-4,0.473
26.407,2.898e4,142.664,-11.054,2.328e4,9.769,29.959,0.346,-46.517,286.828,4.409e-4,0.471
26.457,2.9e4,142.111,-11.043,2.328e4,9.769,29.698,0.345,-46.563,286.512,4.405e-4,0.469
26.507,2.903e4,141.559,-11.035,2.328e4,9.769,29.437,0.345,-46.609,286.197,4.401e-4,0.468
26.557,2.905e4,141.008,-11.027,2.328e4,9.769,29.178,0.345,-46.655,285.884,4.397e-4,0.466
26.607,2.907e4,140.457,-11.017,2.328e4,9.769,28.922,0.345,-46.701,285.571,4.393e-4,0.464
26.657,2.91e4,139.906,-11.007,2.328e4,9.768,28.668,0.345,-46.746,285.26,4.389e-4,0.462
26.707,2.912e4,139.356,-10.995,2.328e4,9.768,28.415,0.345,-46.792,284.967,4.386e-4,0.46
26.757,2.914e4,138.806,-10.987,2.328e4,9.768,28.165,0.345,-46.837,284.677,4.382e-4,0.459
26.807,2.916e4,138.257,-10.976,2.328e4,9.768,27.915,0.345,-46.882,284.388,4.379e-4,0.457
26.857,2.919e4,137.709,-10.963,2.328e4,9.768,27.664,0.345,-46.927,284.1,4.375e-4,0.455
26.907,2.921e4,137.161,-10.951,2.328e4,9.768,27.415,0.345,-46.972,283.813,4.371e-4,0.453
26.957,2.923e4,136.614,-10.939,2.328e4,9.768,27.168,0.345,-47.016,283.527,4.368e-4,0.452
27.007,2.925e4,136.067,-10.925,2.328e4,9.768,26.925,0.345,-47.06,283.243,4.364e-4,0.45
27.057,2.928e4,135.521,-10.914,2.328e4,9.768,26.683,0.345,-47.104,282.959,4.361e-4,0.448
27.107,2.93e4,134.976,-10.901,2.328e4,9.768,26.444,0.345,-47.148,282.677,4.357e-4,0.446
